Case ID,Predicted_Distance,Batching_Partition,merged_activity
declaration 86791,79616.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86735,183600.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86731,183595.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86805,1378208.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86809,98430.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86816,151946.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86716,341893.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86720,76263.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86820,624603.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86828,13950.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86739,14157.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86746,158826.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86752,1282844.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86756,96160.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86832,96021.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86836,95922.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86760,146930.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86764,142915.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86771,5412.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86840,57147.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86776,3705.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86783,431247.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86824,353742.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86840,354294.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86847,600843.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86851,77820.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86572,77418.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86576,77219.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86855,320563.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86859,434466.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86863,278024.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86867,346637.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86871,1018577.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86580,238111.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86584,227533.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86588,208910.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86592,784425.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86880,72445.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86884,79015.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86888,19960.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86596,253557.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86875,173403.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86600,188672.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86739,63506.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86708,103100.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86615,16025.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
declaration 86646,341426.0,0.0,Declaration FINAL_APPROVED by SUPERVISOR_Request Payment
