Case ID,Predicted_Distance,Batching_Partition,merged_activity
declaration 86791,201398.0,0.0,Request Payment_Payment Handled
declaration 86828,179527.0,0.0,Request Payment_Payment Handled
declaration 86816,462463.0,0.0,Request Payment_Payment Handled
declaration 86735,442496.0,0.0,Request Payment_Payment Handled
declaration 86731,442496.0,0.0,Request Payment_Payment Handled
declaration 86756,432989.0,0.0,Request Payment_Payment Handled
declaration 86832,432959.0,0.0,Request Payment_Payment Handled
declaration 86836,432932.0,0.0,Request Payment_Payment Handled
declaration 86771,432865.0,0.0,Request Payment_Payment Handled
declaration 86746,376197.0,0.0,Request Payment_Payment Handled
declaration 86760,372309.0,0.0,Request Payment_Payment Handled
declaration 86576,271516.0,0.0,Request Payment_Payment Handled
declaration 86572,271471.0,0.0,Request Payment_Payment Handled
declaration 86851,271400.0,0.0,Request Payment_Payment Handled
declaration 86716,271358.0,0.0,Request Payment_Payment Handled
declaration 86855,286637.0,0.0,Request Payment_Payment Handled
declaration 86584,286329.0,0.0,Request Payment_Payment Handled
declaration 86580,286272.0,0.0,Request Payment_Payment Handled
declaration 86824,270600.0,0.0,Request Payment_Payment Handled
declaration 86863,265679.0,0.0,Request Payment_Payment Handled
declaration 86840,265613.0,0.0,Request Payment_Payment Handled
declaration 86880,194645.0,0.0,Request Payment_Payment Handled
declaration 86867,194510.0,0.0,Request Payment_Payment Handled
declaration 86783,194422.0,0.0,Request Payment_Payment Handled
declaration 86820,179804.0,0.0,Request Payment_Payment Handled
declaration 86888,179776.0,0.0,Request Payment_Payment Handled
declaration 86884,179731.0,0.0,Request Payment_Payment Handled
declaration 86739,460427.0,0.0,Request Payment_Payment Handled
declaration 86859,460385.0,0.0,Request Payment_Payment Handled
declaration 86588,2533828.0,0.0,Request Payment_Payment Handled
declaration 86875,369574.0,0.0,Request Payment_Payment Handled
declaration 86615,359653.0,0.0,Request Payment_Payment Handled
declaration 86600,353743.0,0.0,Request Payment_Payment Handled
declaration 86847,353723.0,0.0,Request Payment_Payment Handled
declaration 86708,349788.0,0.0,Request Payment_Payment Handled
declaration 86654,349756.0,0.0,Request Payment_Payment Handled
declaration 86596,290130.0,0.0,Request Payment_Payment Handled
declaration 86650,283561.0,0.0,Request Payment_Payment Handled
declaration 86658,283436.0,0.0,Request Payment_Payment Handled
declaration 86668,278358.0,0.0,Request Payment_Payment Handled
declaration 86646,285901.0,0.0,Request Payment_Payment Handled
declaration 86720,275198.0,0.0,Request Payment_Payment Handled
declaration 86641,269011.0,0.0,Request Payment_Payment Handled
declaration 86604,268983.0,0.0,Request Payment_Payment Handled
declaration 90824,189551.0,0.0,Request Payment_Payment Handled
declaration 86693,182342.0,0.0,Request Payment_Payment Handled
declaration 88710,457677.0,0.0,Request Payment_Payment Handled
declaration 89421,457651.0,0.0,Request Payment_Payment Handled
declaration 91295,457513.0,0.0,Request Payment_Payment Handled
declaration 93588,457385.0,0.0,Request Payment_Payment Handled
declaration 86677,457363.0,0.0,Request Payment_Payment Handled
declaration 86664,457341.0,0.0,Request Payment_Payment Handled
declaration 86592,457319.0,0.0,Request Payment_Payment Handled
declaration 86871,457290.0,0.0,Request Payment_Payment Handled
declaration 86752,457235.0,0.0,Request Payment_Payment Handled
declaration 86805,457204.0,0.0,Request Payment_Payment Handled
declaration 88822,440713.0,0.0,Request Payment_Payment Handled
declaration 86672,284976.0,0.0,Request Payment_Payment Handled
declaration 94740,283182.0,0.0,Request Payment_Payment Handled
declaration 90090,283148.0,0.0,Request Payment_Payment Handled
declaration 94736,283108.0,0.0,Request Payment_Payment Handled
declaration 86632,283079.0,0.0,Request Payment_Payment Handled
declaration 89393,283051.0,0.0,Request Payment_Payment Handled
declaration 86685,283017.0,0.0,Request Payment_Payment Handled
declaration 86809,282974.0,0.0,Request Payment_Payment Handled
declaration 86681,278697.0,0.0,Request Payment_Payment Handled
declaration 93602,278672.0,0.0,Request Payment_Payment Handled
declaration 92482,269654.0,0.0,Request Payment_Payment Handled
declaration 93453,630083.0,0.0,Request Payment_Payment Handled
declaration 89453,284423.0,0.0,Request Payment_Payment Handled
declaration 88936,284397.0,0.0,Request Payment_Payment Handled
declaration 89397,284355.0,0.0,Request Payment_Payment Handled
declaration 86689,284295.0,0.0,Request Payment_Payment Handled
declaration 88714,278594.0,0.0,Request Payment_Payment Handled
declaration 94903,278541.0,0.0,Request Payment_Payment Handled
declaration 94899,278479.0,0.0,Request Payment_Payment Handled
declaration 88830,278362.0,0.0,Request Payment_Payment Handled
declaration 88948,181442.0,0.0,Request Payment_Payment Handled
declaration 94748,181414.0,0.0,Request Payment_Payment Handled
declaration 88718,181389.0,0.0,Request Payment_Payment Handled
declaration 94907,181355.0,0.0,Request Payment_Payment Handled
declaration 89342,181334.0,0.0,Request Payment_Payment Handled
declaration 90912,179772.0,0.0,Request Payment_Payment Handled
declaration 90919,179735.0,0.0,Request Payment_Payment Handled
declaration 94744,179663.0,0.0,Request Payment_Payment Handled
declaration 88940,179663.0,0.0,Request Payment_Payment Handled
declaration 88932,179639.0,0.0,Request Payment_Payment Handled
declaration 89401,179606.0,0.0,Request Payment_Payment Handled
declaration 95235,179427.0,0.0,Request Payment_Payment Handled
declaration 89351,175432.0,0.0,Request Payment_Payment Handled
declaration 88944,175406.0,0.0,Request Payment_Payment Handled
declaration 89338,460153.0,0.0,Request Payment_Payment Handled
declaration 89247,450656.0,0.0,Request Payment_Payment Handled
declaration 88188,371234.0,0.0,Request Payment_Payment Handled
declaration 89220,371179.0,0.0,Request Payment_Payment Handled
declaration 89425,371108.0,0.0,Request Payment_Payment Handled
declaration 90923,371012.0,0.0,Request Payment_Payment Handled
declaration 89346,370907.0,0.0,Request Payment_Payment Handled
declaration 92486,357060.0,0.0,Request Payment_Payment Handled
declaration 86620,356433.0,0.0,Request Payment_Payment Handled
declaration 94895,352482.0,0.0,Request Payment_Payment Handled
declaration 89225,273753.0,0.0,Request Payment_Payment Handled
declaration 89360,273713.0,0.0,Request Payment_Payment Handled
declaration 93606,270424.0,0.0,Request Payment_Payment Handled
declaration 88457,270399.0,0.0,Request Payment_Payment Handled
declaration 88453,270318.0,0.0,Request Payment_Payment Handled
declaration 86764,290738.0,0.0,Request Payment_Payment Handled
declaration 86776,290503.0,0.0,Request Payment_Payment Handled
declaration 95239,2449864.0,0.0,Request Payment_Payment Handled
declaration 89229,2449864.0,0.0,Request Payment_Payment Handled
declaration 89309,2449864.0,0.0,Request Payment_Payment Handled
declaration 88952,282968.0,0.0,Request Payment_Payment Handled
declaration 89376,187075.0,0.0,Request Payment_Payment Handled
declaration 88838,187023.0,0.0,Request Payment_Payment Handled
declaration 88427,186919.0,0.0,Request Payment_Payment Handled
declaration 90106,178757.0,0.0,Request Payment_Payment Handled
declaration 93592,178734.0,0.0,Request Payment_Payment Handled
declaration 95243,178713.0,0.0,Request Payment_Payment Handled
declaration 89364,178631.0,0.0,Request Payment_Payment Handled
declaration 89297,178607.0,0.0,Request Payment_Payment Handled
declaration 93809,178577.0,0.0,Request Payment_Payment Handled
declaration 91303,178550.0,0.0,Request Payment_Payment Handled
declaration 89356,178457.0,0.0,Request Payment_Payment Handled
declaration 90829,178428.0,0.0,Request Payment_Payment Handled
declaration 88469,452048.0,0.0,Request Payment_Payment Handled
declaration 88960,452048.0,0.0,Request Payment_Payment Handled
declaration 95247,438548.0,0.0,Request Payment_Payment Handled
declaration 88956,438077.0,0.0,Request Payment_Payment Handled
declaration 91603,438032.0,0.0,Request Payment_Payment Handled
declaration 89233,438002.0,0.0,Request Payment_Payment Handled
declaration 92744,437998.0,0.0,Request Payment_Payment Handled
declaration 89485,437973.0,0.0,Request Payment_Payment Handled
declaration 93466,437956.0,0.0,Request Payment_Payment Handled
declaration 91307,437923.0,0.0,Request Payment_Payment Handled
declaration 88196,2511430.0,0.0,Request Payment_Payment Handled
declaration 88192,2511408.0,0.0,Request Payment_Payment Handled
declaration 90110,436608.0,0.0,Request Payment_Payment Handled
declaration 89409,374529.0,0.0,Request Payment_Payment Handled
declaration 89301,373647.0,0.0,Request Payment_Payment Handled
declaration 88855,363602.0,0.0,Request Payment_Payment Handled
declaration 88734,363561.0,0.0,Request Payment_Payment Handled
declaration 94916,363484.0,0.0,Request Payment_Payment Handled
declaration 88204,363417.0,0.0,Request Payment_Payment Handled
declaration 93476,363363.0,0.0,Request Payment_Payment Handled
declaration 88200,363327.0,0.0,Request Payment_Payment Handled
declaration 88722,363304.0,0.0,Request Payment_Payment Handled
declaration 88461,363279.0,0.0,Request Payment_Payment Handled
declaration 89290,363247.0,0.0,Request Payment_Payment Handled
declaration 88076,354438.0,0.0,Request Payment_Payment Handled
declaration 90928,351238.0,0.0,Request Payment_Payment Handled
declaration 90098,351209.0,0.0,Request Payment_Payment Handled
declaration 86800,351119.0,0.0,Request Payment_Payment Handled
declaration 89413,278348.0,0.0,Request Payment_Payment Handled
declaration 88208,278329.0,0.0,Request Payment_Payment Handled
declaration 95251,278303.0,0.0,Request Payment_Payment Handled
declaration 94004,275352.0,0.0,Request Payment_Payment Handled
declaration 93813,282662.0,0.0,Request Payment_Payment Handled
declaration 92490,282638.0,0.0,Request Payment_Payment Handled
declaration 95259,272327.0,0.0,Request Payment_Payment Handled
declaration 90938,272324.0,0.0,Request Payment_Payment Handled
declaration 89237,196743.0,0.0,Request Payment_Payment Handled
declaration 88964,196724.0,0.0,Request Payment_Payment Handled
declaration 88738,461884.0,0.0,Request Payment_Payment Handled
declaration 94924,442546.0,0.0,Request Payment_Payment Handled
declaration 91312,442527.0,0.0,Request Payment_Payment Handled
declaration 89490,442501.0,0.0,Request Payment_Payment Handled
declaration 88742,442477.0,0.0,Request Payment_Payment Handled
declaration 88973,442467.0,0.0,Request Payment_Payment Handled
declaration 94008,442439.0,0.0,Request Payment_Payment Handled
declaration 87913,442433.0,0.0,Request Payment_Payment Handled
declaration 90942,442408.0,0.0,Request Payment_Payment Handled
declaration 94920,442390.0,0.0,Request Payment_Payment Handled
declaration 95255,442374.0,0.0,Request Payment_Payment Handled
declaration 88969,442351.0,0.0,Request Payment_Payment Handled
declaration 94000,442345.0,0.0,Request Payment_Payment Handled
declaration 88080,442340.0,0.0,Request Payment_Payment Handled
declaration 88850,442325.0,0.0,Request Payment_Payment Handled
declaration 89380,442319.0,0.0,Request Payment_Payment Handled
declaration 90833,442294.0,0.0,Request Payment_Payment Handled
declaration 88846,442277.0,0.0,Request Payment_Payment Handled
declaration 88465,442277.0,0.0,Request Payment_Payment Handled
declaration 88842,442260.0,0.0,Request Payment_Payment Handled
declaration 93471,442230.0,0.0,Request Payment_Payment Handled
declaration 90933,442213.0,0.0,Request Payment_Payment Handled
declaration 89405,701366.0,0.0,Request Payment_Payment Handled
declaration 89368,442080.0,0.0,Request Payment_Payment Handled
declaration 89692,442063.0,0.0,Request Payment_Payment Handled
declaration 94911,442045.0,0.0,Request Payment_Payment Handled
declaration 95263,438523.0,0.0,Request Payment_Payment Handled
declaration 95267,438498.0,0.0,Request Payment_Payment Handled
declaration 90837,437597.0,0.0,Request Payment_Payment Handled
declaration 89389,372734.0,0.0,Request Payment_Payment Handled
declaration 95271,371934.0,0.0,Request Payment_Payment Handled
declaration 92494,1235591.0,0.0,Request Payment_Payment Handled
declaration 89263,371418.0,0.0,Request Payment_Payment Handled
declaration 93480,371278.0,0.0,Request Payment_Payment Handled
declaration 89251,371093.0,0.0,Request Payment_Payment Handled
declaration 89372,359894.0,0.0,Request Payment_Payment Handled
declaration 89259,359870.0,0.0,Request Payment_Payment Handled
declaration 90114,359835.0,0.0,Request Payment_Payment Handled
declaration 88730,359813.0,0.0,Request Payment_Payment Handled
declaration 92498,283927.0,0.0,Request Payment_Payment Handled
declaration 93461,263584.0,0.0,Request Payment_Payment Handled
declaration 95275,270432.0,0.0,Request Payment_Payment Handled
declaration 88473,270408.0,0.0,Request Payment_Payment Handled
declaration 93485,270387.0,0.0,Request Payment_Payment Handled
declaration 92838,265658.0,0.0,Request Payment_Payment Handled
declaration 88863,265645.0,0.0,Request Payment_Payment Handled
declaration 88098,202688.0,0.0,Request Payment_Payment Handled
declaration 94928,187746.0,0.0,Request Payment_Payment Handled
declaration 89242,187746.0,0.0,Request Payment_Payment Handled
declaration 88746,187746.0,0.0,Request Payment_Payment Handled
declaration 88977,187746.0,0.0,Request Payment_Payment Handled
declaration 89313,187746.0,0.0,Request Payment_Payment Handled
declaration 95376,181367.0,0.0,Request Payment_Payment Handled
declaration 88859,181362.0,0.0,Request Payment_Payment Handled
declaration 88987,454540.0,0.0,Request Payment_Payment Handled
declaration 89697,454532.0,0.0,Request Payment_Payment Handled
declaration 89433,454508.0,0.0,Request Payment_Payment Handled
declaration 89501,450264.0,0.0,Request Payment_Payment Handled
declaration 93489,369855.0,0.0,Request Payment_Payment Handled
declaration 94757,357326.0,0.0,Request Payment_Payment Handled
declaration 89505,357309.0,0.0,Request Payment_Payment Handled
declaration 93992,357275.0,0.0,Request Payment_Payment Handled
declaration 92748,545712.0,0.0,Request Payment_Payment Handled
declaration 89318,533952.0,0.0,Request Payment_Payment Handled
declaration 89091,533952.0,0.0,Request Payment_Payment Handled
declaration 88102,526794.0,0.0,Request Payment_Payment Handled
declaration 89494,526765.0,0.0,Request Payment_Payment Handled
declaration 89267,526726.0,0.0,Request Payment_Payment Handled
declaration 89271,526690.0,0.0,Request Payment_Payment Handled
declaration 89437,526546.0,0.0,Request Payment_Payment Handled
declaration 92506,526538.0,0.0,Request Payment_Payment Handled
declaration 89417,3287740.0,0.0,Request Payment_Payment Handled
declaration 89441,526505.0,0.0,Request Payment_Payment Handled
declaration 95380,526463.0,0.0,Request Payment_Payment Handled
declaration 93493,525950.0,0.0,Request Payment_Payment Handled
declaration 89457,525921.0,0.0,Request Payment_Payment Handled
declaration 89509,524045.0,0.0,Request Payment_Payment Handled
declaration 88898,524045.0,0.0,Request Payment_Payment Handled
declaration 94752,524045.0,0.0,Request Payment_Payment Handled
declaration 91612,197176.0,0.0,Request Payment_Payment Handled
declaration 88114,191941.0,0.0,Request Payment_Payment Handled
declaration 92842,368750.0,0.0,Request Payment_Payment Handled
declaration 91062,367484.0,0.0,Request Payment_Payment Handled
declaration 93829,367460.0,0.0,Request Payment_Payment Handled
declaration 89322,367436.0,0.0,Request Payment_Payment Handled
declaration 88911,367381.0,0.0,Request Payment_Payment Handled
declaration 89445,365977.0,0.0,Request Payment_Payment Handled
declaration 91607,365903.0,0.0,Request Payment_Payment Handled
declaration 88907,365769.0,0.0,Request Payment_Payment Handled
declaration 91324,365713.0,0.0,Request Payment_Payment Handled
declaration 92502,365689.0,0.0,Request Payment_Payment Handled
declaration 88903,365624.0,0.0,Request Payment_Payment Handled
declaration 89095,365599.0,0.0,Request Payment_Payment Handled
declaration 88578,276921.0,0.0,Request Payment_Payment Handled
