Case ID,Predicted_Distance,Batching_Partition,merged_activity
Case 210,18300.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 210,34080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 210,32220.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 210,53820.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 210,4080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 210,25200.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 210,30420.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,19500.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,192600.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,1140.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,45660.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,20700.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,895440.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,2700.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,65700.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,6000.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,22500.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 230,119160.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,6300.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,12600.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,34140.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,32460.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,900.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,0.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,28260.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,24360.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,28200.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,24480.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,41820.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,24540.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 207,6180.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 239,14160.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 239,3300.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 239,46680.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 241,86400.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 239,125760.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 243,15840.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 243,6480.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 243,65100.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 258,6600.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 241,512340.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 258,40980.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 258,66480.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 258,27000.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 258,2880.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 258,52200.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 258,11160.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,2520.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,19140.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,172080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,34080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,20520.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,6120.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,81180.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 241,37380.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 241,19260.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 241,59880.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 252,8280.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 252,780.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 252,77340.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 252,5100.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,34860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,16620.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,3600.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,46320.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 46,225720.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,16200.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,15780.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,15120.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,38520.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,13800.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,27540.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,26160.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,9900.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 260,8040.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 46,14940.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 46,9240.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 46,16860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 46,28200.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,28860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,17580.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,39180.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,111960.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,32340.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,14340.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,279000.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,8460.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,152760.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 262,4980.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 262,19800.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 262,6480.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,2520.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 240,410760.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,5460.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,15720.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,23640.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,46500.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,64080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,22860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,4380.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,82920.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,37680.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,7920.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,23160.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,4980.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,6540.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,15360.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,10020.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 242,7740.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 92,61020.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 92,3960.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 92,36000.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 209,18060.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 209,21840.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 209,7680.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 209,39180.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 209,17760.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 209,159900.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,14400.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,34020.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,11880.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,5700.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,92460.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,53040.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,13560.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,24780.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,15720.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,36000.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,5640.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 28,60.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,7260.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,17100.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,35400.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,5580.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 212,589320.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,24240.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,15480.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,37380.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 214,4320.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 33,1800.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 33,6660.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 33,27960.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 33,5820.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 33,22620.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 212,10860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 212,4860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 212,28020.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 212,26940.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 114,4080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 114,1080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 114,336420.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,15900.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,11400.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,52860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,22800.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 50,3180.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 50,221940.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,128340.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,22800.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 49,37320.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,3900.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,2700.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,14940.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,38100.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 50,8820.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 50,23640.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,4620.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,24780.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,4680.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,3780.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,4200.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,161280.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,15600.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,32820.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,2460.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 127,3660.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,26400.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,15300.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,28080.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,25860.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,2460.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,151680.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,4020.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,18900.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,14580.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,42960.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 42,27060.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 42,3420.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 42,12120.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 42,41880.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 42,5280.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 42,2880.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,6300.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,135420.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,32640.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,102960.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 59,38626.89707176471,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 59,52840.10809340971,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 59,40977.69969793582,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 174,38626.89707176471,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 174,44901.51760558703,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 174,52259.407296597754,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 174,45785.24160394912,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 174,49825.94397061004,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 174,38430.74143109175,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 174,38430.74143109175,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 45,45808.70905366375,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 45,48032.56618739641,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 45,40977.69969793582,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 85,43261.750786819684,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 85,52045.732494999815,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 85,38430.74143109175,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 85,44990.866005539225,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 85,45785.24160394912,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,5940.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,3780.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,6300.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,65880.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,74100.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 118,41178.386049397595,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,33780.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 86,37846.65111612644,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 110,44220.0,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 86,41178.386049397595,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 86,45785.24160394912,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 86,41178.386049397595,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 86,45785.24160394912,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 86,44990.866005539225,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,37846.65111612644,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,52045.732494999815,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,45785.24160394912,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,41178.386049397595,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,52259.407296597754,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,48032.56618739641,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,41178.386049397595,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,44990.866005539225,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 264,52259.407296597754,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 118,45681.7635612253,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 118,40977.69969793582,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 125,38626.89707176471,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 125,38430.74143109175,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 125,40977.69969793582,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 136,52259.407296597754,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
Case 136,45485.60792055234,0.0,Turning & Milling - Machine 6_Turning & Milling Q.C.
