Case ID,Predicted_Distance,Batching_Partition,merged_activity
C10763,34729200.0,0.0,Add penalty_Send for Credit Collection
C10837,34470000.0,0.0,Add penalty_Send for Credit Collection
C10808,33951600.0,0.0,Add penalty_Send for Credit Collection
C10838,33951600.0,0.0,Add penalty_Send for Credit Collection
C10866,33778800.0,0.0,Add penalty_Send for Credit Collection
C10798,33519600.0,0.0,Add penalty_Send for Credit Collection
C10822,33519600.0,0.0,Add penalty_Send for Credit Collection
C10794,33174000.0,0.0,Add penalty_Send for Credit Collection
C10811,32914800.0,0.0,Add penalty_Send for Credit Collection
C10825,32659200.0,0.0,Add penalty_Send for Credit Collection
C10876,32572800.0,0.0,Add penalty_Send for Credit Collection
C10460,32054400.0,0.0,Add penalty_Send for Credit Collection
C10864,32054400.0,0.0,Add penalty_Send for Credit Collection
C10882,31968000.0,0.0,Add penalty_Send for Credit Collection
C10880,31881600.0,0.0,Add penalty_Send for Credit Collection
C10919,31622400.0,0.0,Add penalty_Send for Credit Collection
C10918,31622400.0,0.0,Add penalty_Send for Credit Collection
S48446,31449600.0,0.0,Add penalty_Send for Credit Collection
S49411,31449600.0,0.0,Add penalty_Send for Credit Collection
S47793,31449600.0,0.0,Add penalty_Send for Credit Collection
C10471,62812800.0,0.0,Add penalty_Send for Credit Collection
S49421,31104000.0,0.0,Add penalty_Send for Credit Collection
C10955,31104000.0,0.0,Add penalty_Send for Credit Collection
C11074,31017600.0,0.0,Add penalty_Send for Credit Collection
C10937,30931200.0,0.0,Add penalty_Send for Credit Collection
C10875,30499200.0,0.0,Add penalty_Send for Credit Collection
C10940,30412800.0,0.0,Add penalty_Send for Credit Collection
S49437,30412800.0,0.0,Add penalty_Send for Credit Collection
S49433,30326400.0,0.0,Add penalty_Send for Credit Collection
S49085,30326400.0,0.0,Add penalty_Send for Credit Collection
S44857,30326400.0,0.0,Add penalty_Send for Credit Collection
C10941,30240000.0,0.0,Add penalty_Send for Credit Collection
C10944,117075600.0,0.0,Add penalty_Send for Credit Collection
N22055,29808000.0,0.0,Add penalty_Send for Credit Collection
N21191,29721600.0,0.0,Add penalty_Send for Credit Collection
N21233,29635200.0,0.0,Add penalty_Send for Credit Collection
N21264,29635200.0,0.0,Add penalty_Send for Credit Collection
N21239,29635200.0,0.0,Add penalty_Send for Credit Collection
N21192,29635200.0,0.0,Add penalty_Send for Credit Collection
C10906,29635200.0,0.0,Add penalty_Send for Credit Collection
N21204,29635200.0,0.0,Add penalty_Send for Credit Collection
N21266,29548800.0,0.0,Add penalty_Send for Credit Collection
N21243,29548800.0,0.0,Add penalty_Send for Credit Collection
N21274,29548800.0,0.0,Add penalty_Send for Credit Collection
N21227,29376000.0,0.0,Add penalty_Send for Credit Collection
N21225,29376000.0,0.0,Add penalty_Send for Credit Collection
N21263,29376000.0,0.0,Add penalty_Send for Credit Collection
N21260,29289600.0,0.0,Add penalty_Send for Credit Collection
C11029,29289600.0,0.0,Add penalty_Send for Credit Collection
C11036,29289600.0,0.0,Add penalty_Send for Credit Collection
N21211,29289600.0,0.0,Add penalty_Send for Credit Collection
N21272,29289600.0,0.0,Add penalty_Send for Credit Collection
C11032,29289600.0,0.0,Add penalty_Send for Credit Collection
N21285,29203200.0,0.0,Add penalty_Send for Credit Collection
C10925,29203200.0,0.0,Add penalty_Send for Credit Collection
N21278,29116800.0,0.0,Add penalty_Send for Credit Collection
C10959,29116800.0,0.0,Add penalty_Send for Credit Collection
N21215,29116800.0,0.0,Add penalty_Send for Credit Collection
N21277,29030400.0,0.0,Add penalty_Send for Credit Collection
S42684,60566400.0,0.0,Add penalty_Send for Credit Collection
N21269,60566400.0,0.0,Add penalty_Send for Credit Collection
N21242,28944000.0,0.0,Add penalty_Send for Credit Collection
C10311,28857600.0,0.0,Add penalty_Send for Credit Collection
C10310,28857600.0,0.0,Add penalty_Send for Credit Collection
N22275,28857600.0,0.0,Add penalty_Send for Credit Collection
C10950,28771200.0,0.0,Add penalty_Send for Credit Collection
N22076,28771200.0,0.0,Add penalty_Send for Credit Collection
S39549,28771200.0,0.0,Add penalty_Send for Credit Collection
N21283,28771200.0,0.0,Add penalty_Send for Credit Collection
N21190,28771200.0,0.0,Add penalty_Send for Credit Collection
S42694,28598400.0,0.0,Add penalty_Send for Credit Collection
N21238,28512000.0,0.0,Add penalty_Send for Credit Collection
N22398,28512000.0,0.0,Add penalty_Send for Credit Collection
S44308,60048000.0,0.0,Add penalty_Send for Credit Collection
N22762,28512000.0,0.0,Add penalty_Send for Credit Collection
N21198,28512000.0,0.0,Add penalty_Send for Credit Collection
N22759,28512000.0,0.0,Add penalty_Send for Credit Collection
N21236,28512000.0,0.0,Add penalty_Send for Credit Collection
N22757,28512000.0,0.0,Add penalty_Send for Credit Collection
N21219,28512000.0,0.0,Add penalty_Send for Credit Collection
N22296,28512000.0,0.0,Add penalty_Send for Credit Collection
N22298,28512000.0,0.0,Add penalty_Send for Credit Collection
N22486,28512000.0,0.0,Add penalty_Send for Credit Collection
N22301,28512000.0,0.0,Add penalty_Send for Credit Collection
S44306,28512000.0,0.0,Add penalty_Send for Credit Collection
N21217,28512000.0,0.0,Add penalty_Send for Credit Collection
S44317,28512000.0,0.0,Add penalty_Send for Credit Collection
N22287,28512000.0,0.0,Add penalty_Send for Credit Collection
N22470,28512000.0,0.0,Add penalty_Send for Credit Collection
N22295,28512000.0,0.0,Add penalty_Send for Credit Collection
N22440,28512000.0,0.0,Add penalty_Send for Credit Collection
N21892,60048000.0,0.0,Add penalty_Send for Credit Collection
N21888,28512000.0,0.0,Add penalty_Send for Credit Collection
N21887,28512000.0,0.0,Add penalty_Send for Credit Collection
N21882,28512000.0,0.0,Add penalty_Send for Credit Collection
N21881,28512000.0,0.0,Add penalty_Send for Credit Collection
N22054,28512000.0,0.0,Add penalty_Send for Credit Collection
N22011,28512000.0,0.0,Add penalty_Send for Credit Collection
N21894,60048000.0,0.0,Add penalty_Send for Credit Collection
N21286,28512000.0,0.0,Add penalty_Send for Credit Collection
C11073,28512000.0,0.0,Add penalty_Send for Credit Collection
N22025,28512000.0,0.0,Add penalty_Send for Credit Collection
N21867,60048000.0,0.0,Add penalty_Send for Credit Collection
N21893,28512000.0,0.0,Add penalty_Send for Credit Collection
S37636,28512000.0,0.0,Add penalty_Send for Credit Collection
N21268,28512000.0,0.0,Add penalty_Send for Credit Collection
S37635,60048000.0,0.0,Add penalty_Send for Credit Collection
N22434,28512000.0,0.0,Add penalty_Send for Credit Collection
N21856,60048000.0,0.0,Add penalty_Send for Credit Collection
N21855,28512000.0,0.0,Add penalty_Send for Credit Collection
N22460,28512000.0,0.0,Add penalty_Send for Credit Collection
N22052,60048000.0,0.0,Add penalty_Send for Credit Collection
N21844,28512000.0,0.0,Add penalty_Send for Credit Collection
N22448,60048000.0,0.0,Add penalty_Send for Credit Collection
N22265,28512000.0,0.0,Add penalty_Send for Credit Collection
N22429,28512000.0,0.0,Add penalty_Send for Credit Collection
N21864,28512000.0,0.0,Add penalty_Send for Credit Collection
N22418,28512000.0,0.0,Add penalty_Send for Credit Collection
N22074,28425600.0,0.0,Add penalty_Send for Credit Collection
